title,point,review,type
타이타닉,10,레오 얼굴만 봐도 재밌는데 스토리까지 정말 완벽해서 더 재밌습니다.,긍정
뮬란,1,"보이콧은 모르겠고 디즈니 실사판인 점 하나 믿고 봤었는데 애니와 많은 비교가 되는 영화였습니다. 각자 주관적인 평이 나올 수 있으나, 저는 좋은 평가를 주기는 어려웠네요.",부정
담보,10,"가슴 먹먹한 감동입니다. 정말 좋은 영화이고, 또 보고 싶네요. 이  시국에 좋은 영화 감사합니다. ~~^^",긍정
라이언,7,제목이 왜 라이언인지 궁금해질때쯤 영화 마지막 엔딩에서 그 의문이 풀린다.길을 잃은 어린 사루의 모습에 가슴이 먹먹해진다.,긍정
언힌지드,4,매우불쾌하게봄. 민폐년,부정
언힌지드,9,"좋았어요.사회의 소외,난폭운전, 분노조절등을 바탕으로 긴장,몰입, 공포,분노등 반전과 긴장을 주는 영화, 러셀 크로우때문에 보았는데 살이 왜케 쪘지요?",긍정
극비수사,9,사투리가 95% 정확하길래 보니 곽경택감독이네. 역시. 영화도 상업영화로서 균형잡히게 잘 연출했다.,긍정
해수의 아이,4,내가 보고 싶었던것 아름다운 영상과 소녀의 자이정체성 찾기실제로 본 것 일본 철학으로 보는 잉태의 신비와 존귀함. (대상이 미성년...) 이런걸 요즘 시대에 볼 줄이야... 혹시나 해서 끝까지 봣지만 최악....오슷이나 영상미는 좋지만 내용이 별로,부정
담보,10,진짜 담보 보세요 ㅠ 두 번 보세요 세 번 보세요ㅠ,긍정
타짜: 원 아이드 잭,1,오늘 근무시간에 봤습니다. 차라리 일을 하는게 재미 있더라구요,부정
죽지않는 인간들의 밤,1,너무 안타까워요 ㅠ 오랜만에 극장갔는데... 속상했네요^^;;;;그래도 취향에 맞는분 있겠지요,부정
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,8,아들이 좋아했으니 만족합니다,긍정
애프터: 그 후,10,사실 내용은... 내용면에서는 1이 굉장히 좋았음 그저 배우들 보기위해서 영화를 본거라 만족스러움 후속편도 빨리나오기를,긍정
행복을 찾아서,10,역경속에서도 그 스스로가 이뤄낸 것이 결과물이 너무 아름답다.,긍정
나이브스 아웃,1,불법체류자의 승리를 보여주고 싶은 간절한 의도가 보인다남의 가족 재실을 날로 먹으려는 년을 보니 정말 불쾌하다,부정
